date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/27,2330,港商麥格理,1360,4805,213,4592,23.84,1,buy
8/27,2330,美商高盛,1480,1058,1979,-921,4.78,1,sell
8/27,2330,摩根大通,8440,1591,331,1260,6.54,2,buy
8/27,2330,花旗環球,1590,889,1719,-830,4.31,2,sell
8/27,2330,台灣摩根士丹利,1470,1123,555,568,2.95,3,buy
8/27,2330,新加坡商瑞銀,1650,893,1414,-521,2.7,3,sell
8/27,2330,元大證券,9800,1115,652,463,2.4,4,buy
8/27,2330,凱基-三多,9275,6,169,-163,0.85,4,sell
8/27,2330,永豐金-匯立,0039004100380031,347,91,256,1.33,5,buy
8/27,2330,華南永昌,9300,26,181,-155,0.8,5,sell
8/27,2330,凱基-台北,9268,572,368,204,1.06,6,buy
8/27,2330,國泰證券,8880,78,177,-99,0.51,6,sell
8/27,2330,第一金-台中,5382,126,2,124,0.64,7,buy
8/27,2330,台新-城東,0039004200320072,5,104,-99,0.51,7,sell
8/27,2330,美林,1440,1651,1560,91,0.47,8,buy
8/27,2330,富邦證券,9600,126,222,-96,0.5,8,sell
8/27,2330,玉山證券,8840,98,57,41,0.21,9,buy
8/27,2330,群益金鼎,9100,36,124,-88,0.46,9,sell
8/27,2330,兆豐-三重,7008,31,8,23,0.12,10,buy
8/27,2330,宏遠證券,1260,23,109,-86,0.45,10,sell
8/27,2330,元大-南屯,9853,31,9,22,0.11,11,buy
8/27,2330,香港上海匯豐,8960,80,154,-74,0.38,11,sell
8/27,2330,永豐金-嘉義,003900410039006a,27,6,21,0.11,12,buy
8/27,2330,凱基,9200,177,246,-69,0.36,12,sell
8/27,2330,凱基-雙和,0039003200300043,25,4,21,0.11,13,buy
8/27,2330,富邦-和美,0039003600310050,0,64,-64,0.33,13,sell
8/27,2330,法銀巴黎,8900,20,3,17,0.09,14,buy
8/27,2330,國票-長城,0037003700390075,0,62,-62,0.32,14,sell
8/27,2330,第一金-台南,5384,29,13,16,0.08,15,buy
8/27,2330,統一-平鎮,0035003800350067,3,60,-57,0.3,15,sell
8/27,2317,摩根大通,8440,6303,1122,5181,12.36,1,buy
8/27,2317,凱基-台北,9268,1242,1921,-679,1.62,1,sell
8/27,2317,台灣摩根士丹利,1470,5945,992,4953,11.81,2,buy
8/27,2317,國票-南京,003700370039006e,6,510,-504,1.2,2,sell
8/27,2317,新加坡商瑞銀,1650,3441,320,3121,7.44,3,buy
8/27,2317,臺銀,1040,43,506,-463,1.1,3,sell
8/27,2317,花旗環球,1590,2349,613,1736,4.14,4,buy
8/27,2317,富邦-頭份,0039003600320050,5,334,-329,0.78,4,sell
8/27,2317,元大證券,9800,3520,2162,1358,3.24,5,buy
8/27,2317,國泰-敦南,8888,282,588,-306,0.73,5,sell
8/27,2317,美林,1440,1407,400,1007,2.4,6,buy
8/27,2317,富邦-仁愛,9676,27,287,-260,0.62,6,sell
8/27,2317,美商高盛,1480,2520,1604,916,2.19,7,buy
8/27,2317,新光,8560,161,387,-226,0.54,7,sell
8/27,2317,港商野村,1560,939,43,896,2.14,8,buy
8/27,2317,富邦-和美,0039003600310050,23,247,-224,0.53,8,sell
8/27,2317,中國信託-高雄,003600310036004b,609,61,548,1.31,9,buy
8/27,2317,富邦-台北,9623,47,240,-193,0.46,9,sell
